"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"iBIPOC_pr",1,30,0.416666666666667,0.39935292489312,0.333333333333333,0.395833333333333,0.494199999999999,0,1,1,0.443409991611978,-1.38646980313647,0.0729115351232093
"cmBlack",2,32,7.53125,8.60976330647646,5,6.23076923076923,7.413,0,29,29,1.10040657262445,-0.0674039491049934,1.52200550460515
"Belonging",3,31,4.23677419354839,1.52035607034838,4,4.2804,1.971858,1,7,6,-0.187285986247599,-0.925660134647759,0.273064011203161
"ClimateBL",4,29,2.43689655172414,0.988931976023614,2.33,2.4132,0.993342,1,4.17,3.17,0.148926749396005,-1.15401218375549,0.183640057721805
